2026-03-23 23:15:59,501 - INFO - episode:rmsddpg Actions:[[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0]]
2026-03-24 16:05:03,635 - INFO - episode:rmsddpg Actions:[[3, 2], [7, 1], [1, 2], [6, 1], [8, 1], [5, 2], [9, 0], [0, 1], [2, 1], [4, 0]]
2026-03-24 16:05:03,636 - INFO - episode:rmsddpg Actions:[[3, 2], [7, 4], [1, 4], [6, 1], [8, 1], [5, 4], [9, 3], [0, 1], [2, 1], [4, 0]]
2026-03-24 16:12:13,373 - INFO - episode:rmsddpg Actions:[[3, 2], [7, 0], [1, 3], [6, 4], [8, 5], [5, 4], [9, 0], [0, 4], [2, 0], [4, 1]]
2026-03-24 16:23:11,517 - INFO - episode:rmsddpg Actions:[[3, 1], [7, 4], [1, 1], [6, 3], [8, 1], [5, 1], [9, 0], [0, 1], [2, 3], [4, 1]]
2026-03-24 17:26:44,608 - INFO - episode:0 reward:1.5 Actions:[[2, 0], [6, 1], [1, 2], [0, 0], [3, 0], [4, 0], [7, 1], [8, 4], [5, 1], [9, 1]]
2026-03-24 17:26:44,636 - INFO - episode:1 reward:4.5 Actions:[[3, 2], [1, 3], [4, 1], [6, 0], [7, 1], [0, 4], [9, 0], [2, 2], [5, 2], [8, 1]]
2026-03-24 17:26:44,657 - INFO - episode:2 reward:2.1 Actions:[[2, 1], [8, 4], [9, 0], [4, 0], [6, 0], [1, 5], [3, 0], [5, 0], [7, 0], [0, 0]]
2026-03-24 17:26:44,679 - INFO - episode:3 reward:1.0 Actions:[[2, 4], [0, 3], [3, 1], [8, 0], [9, 0], [7, 1], [6, 4], [5, 0], [1, 1], [4, 0]]
2026-03-24 17:26:44,700 - INFO - episode:4 reward:2.8 Actions:[[5, 1], [9, 1], [4, 3], [7, 0], [3, 4], [0, 0], [2, 0], [1, 1], [8, 2], [6, 0]]
2026-03-24 17:26:44,722 - INFO - episode:5 reward:1.0 Actions:[[1, 5], [2, 0], [3, 1], [7, 1], [8, 1], [5, 1], [9, 1], [4, 0], [0, 0], [6, 2]]
2026-03-24 17:26:44,743 - INFO - episode:6 reward:2.8 Actions:[[6, 1], [8, 2], [5, 3], [3, 3], [2, 3], [7, 0], [1, 1], [9, 2], [4, 3], [0, 0]]
2026-03-24 17:26:44,767 - INFO - episode:7 reward:7.724789208190941 Actions:[[0, 2], [2, 2], [4, 1], [1, 5], [5, 4], [9, 1], [8, 0], [3, 1], [7, 2], [6, 0]]
2026-03-24 17:26:44,789 - INFO - episode:8 reward:2.8 Actions:[[9, 1], [6, 2], [1, 3], [3, 2], [2, 3], [7, 1], [0, 2], [5, 2], [8, 2], [4, 2]]
2026-03-24 17:26:44,810 - INFO - episode:9 reward:1.0 Actions:[[9, 1], [4, 2], [1, 1], [0, 2], [8, 1], [5, 1], [6, 0], [2, 1], [3, 4], [7, 1]]
2026-03-24 17:26:44,831 - INFO - episode:10 reward:1.5 Actions:[[1, 1], [6, 4], [2, 3], [9, 0], [4, 2], [8, 3], [5, 3], [0, 0], [7, 1], [3, 2]]
2026-03-24 17:26:44,853 - INFO - episode:11 reward:1.0 Actions:[[4, 0], [8, 1], [3, 3], [2, 2], [9, 1], [1, 1], [7, 0], [6, 0], [5, 1], [0, 4]]
2026-03-24 17:26:44,874 - INFO - episode:12 reward:2.1 Actions:[[2, 1], [0, 2], [7, 1], [4, 2], [6, 3], [5, 1], [3, 1], [9, 1], [1, 2], [8, 0]]
