episode: 0 || reward: 1.2414 || t_min: 154.4020 || reward_s: 0.0621
episode: 1 || reward: 5.8815 || t_min: 147.1219 || reward_s: 0.3530
episode: 2 || reward: 1.2414 || t_min: 147.1219 || reward_s: 0.3975
episode: 3 || reward: 1.2414 || t_min: 147.1219 || reward_s: 0.4397
episode: 4 || reward: 3.5031 || t_min: 147.1219 || reward_s: 0.5928
episode: 5 || reward: 1.2414 || t_min: 147.1219 || reward_s: 0.6252
episode: 6 || reward: 5.5975 || t_min: 140.4096 || reward_s: 0.8739
episode: 7 || reward: 1.2414 || t_min: 140.4096 || reward_s: 0.8922
episode: 8 || reward: 1.2414 || t_min: 140.4096 || reward_s: 0.9097
episode: 9 || reward: 7.1310 || t_min: 140.4096 || reward_s: 1.2208
episode: 10 || reward: 1.2414 || t_min: 140.4096 || reward_s: 1.2218
episode: 11 || reward: 16.0082 || t_min: 112.8759 || reward_s: 1.9611
episode: 12 || reward: 1.2414 || t_min: 112.8759 || reward_s: 1.9251
episode: 13 || reward: 1.2414 || t_min: 112.8759 || reward_s: 1.8909
episode: 14 || reward: 5.9060 || t_min: 112.8759 || reward_s: 2.0917
episode: 15 || reward: 4.3240 || t_min: 112.8759 || reward_s: 2.2033
episode: 16 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.1552
episode: 17 || reward: 4.1507 || t_min: 112.8759 || reward_s: 2.2550
episode: 18 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.2043
episode: 19 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.1562
episode: 20 || reward: 5.1949 || t_min: 112.8759 || reward_s: 2.3081
episode: 21 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.2548
episode: 22 || reward: 3.3917 || t_min: 112.8759 || reward_s: 2.3116
episode: 23 || reward: 2.2748 || t_min: 112.8759 || reward_s: 2.3098
episode: 24 || reward: 2.8864 || t_min: 112.8759 || reward_s: 2.3386
episode: 25 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.2837
episode: 26 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.2316
episode: 27 || reward: 7.9116 || t_min: 112.8759 || reward_s: 2.5156
episode: 28 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.4519
episode: 29 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.3914
episode: 30 || reward: 7.5339 || t_min: 112.8759 || reward_s: 2.6485
episode: 31 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.5782
episode: 32 || reward: 6.7223 || t_min: 112.8759 || reward_s: 2.7854
episode: 33 || reward: 2.2998 || t_min: 112.8759 || reward_s: 2.7611
episode: 34 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.6851
episode: 35 || reward: 9.2611 || t_min: 112.8759 || reward_s: 3.0139
episode: 36 || reward: 1.2414 || t_min: 112.8759 || reward_s: 2.9253
episode: 37 || reward: 7.7201 || t_min: 112.8759 || reward_s: 3.1650
episode: 38 || reward: 2.6692 || t_min: 112.8759 || reward_s: 3.1402
episode: 39 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.0453
episode: 40 || reward: 3.8523 || t_min: 112.8759 || reward_s: 3.0856
episode: 41 || reward: 6.0189 || t_min: 112.8759 || reward_s: 3.2323
episode: 42 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.1327
episode: 43 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.0382
episode: 44 || reward: 7.1615 || t_min: 112.8759 || reward_s: 3.2443
episode: 45 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.1442
episode: 46 || reward: 7.6828 || t_min: 112.8759 || reward_s: 3.3711
episode: 47 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.2646
episode: 48 || reward: 5.1574 || t_min: 112.8759 || reward_s: 3.3593
episode: 49 || reward: 7.6788 || t_min: 112.8759 || reward_s: 3.5753
episode: 50 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.4586
episode: 51 || reward: 12.0097 || t_min: 112.8759 || reward_s: 3.8861
episode: 52 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.7539
episode: 53 || reward: 13.7066 || t_min: 112.8759 || reward_s: 4.2515
episode: 54 || reward: 3.8642 || t_min: 112.8759 || reward_s: 4.2322
episode: 55 || reward: 1.2414 || t_min: 112.8759 || reward_s: 4.0826
episode: 56 || reward: 4.2399 || t_min: 112.8759 || reward_s: 4.0905
episode: 57 || reward: 3.5470 || t_min: 112.8759 || reward_s: 4.0633
episode: 58 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.9222
episode: 59 || reward: 3.8256 || t_min: 112.8759 || reward_s: 3.9174
episode: 60 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.7836
episode: 61 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.6565
episode: 62 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.5357
episode: 63 || reward: 5.6267 || t_min: 112.8759 || reward_s: 3.6403
episode: 64 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.5203
episode: 65 || reward: 8.3447 || t_min: 112.8759 || reward_s: 3.7615
episode: 66 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.6355
episode: 67 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.5158
episode: 68 || reward: 8.7337 || t_min: 112.8759 || reward_s: 3.7767
episode: 69 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.6499
episode: 70 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.5295
episode: 71 || reward: 10.6828 || t_min: 112.8759 || reward_s: 3.8872
episode: 72 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.7549
episode: 73 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.6292
episode: 74 || reward: 3.3848 || t_min: 112.8759 || reward_s: 3.6170
episode: 75 || reward: 9.4169 || t_min: 112.8759 || reward_s: 3.9070
episode: 76 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.7737
episode: 77 || reward: 5.2584 || t_min: 112.8759 || reward_s: 3.8479
episode: 78 || reward: 7.1288 || t_min: 112.8759 || reward_s: 4.0120
episode: 79 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.8735
episode: 80 || reward: 9.2112 || t_min: 112.8759 || reward_s: 4.1403
episode: 81 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.9954
episode: 82 || reward: 3.1300 || t_min: 112.8759 || reward_s: 3.9521
episode: 83 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.8166
