episode: 0 || reward: 4.5000 || t_min: 3787.2158 || reward_s: 0.2250 || action_list:[[1, np.int64(0)], [7, np.int64(1)], [4, np.int64(2)], [0, np.int64(0)], [5, np.int64(0)], [6, np.int64(0)], [8, np.int64(1)], [2, np.int64(2)], [3, np.int64(2)], [9, np.int64(2)]]
episode: 1 || reward: 59.7262 || t_min: 3678.7634 || reward_s: 3.2001 || action_list:[[3, np.int64(2)], [5, np.int64(0)], [0, np.int64(3)], [8, np.int64(0)], [1, np.int64(3)], [9, np.int64(4)], [2, np.int64(0)], [6, np.int64(2)], [4, np.int64(2)], [7, np.int64(3)]]
episode: 2 || reward: 99.4748 || t_min: 3490.8139 || reward_s: 8.0138 || action_list:[[0, np.int64(1)], [5, np.int64(4)], [9, np.int64(3)], [3, np.int64(4)], [8, np.int64(4)], [6, np.int64(3)], [2, np.int64(0)], [4, np.int64(0)], [7, np.int64(0)], [1, np.int64(0)]]
episode: 3 || reward: 4.5000 || t_min: 3490.8139 || reward_s: 7.8381 || action_list:[[9, np.int64(4)], [0, np.int64(3)], [3, np.int64(5)], [5, np.int64(3)], [6, np.int64(0)], [4, np.int64(3)], [8, np.int64(4)], [2, np.int64(0)], [7, np.int64(4)], [1, np.int64(0)]]
episode: 4 || reward: 4.5000 || t_min: 3490.8139 || reward_s: 7.6712 || action_list:[[1, np.int64(2)], [7, np.int64(1)], [5, np.int64(3)], [0, np.int64(0)], [3, np.int64(4)], [8, np.int64(0)], [6, np.int64(0)], [2, np.int64(2)], [4, np.int64(3)], [9, np.int64(0)]]
episode: 5 || reward: 55.6105 || t_min: 3390.5929 || reward_s: 10.0682 || action_list:[[1, np.int64(5)], [0, np.int64(5)], [4, np.int64(1)], [8, np.int64(1)], [6, np.int64(1)], [3, np.int64(3)], [9, np.int64(1)], [2, np.int64(3)], [5, np.int64(0)], [7, np.int64(2)]]
episode: 6 || reward: 4.5000 || t_min: 3390.5929 || reward_s: 9.7898 || action_list:[[9, np.int64(2)], [3, np.int64(2)], [1, np.int64(2)], [8, np.int64(3)], [7, np.int64(3)], [6, np.int64(0)], [2, np.int64(5)], [4, np.int64(2)], [0, np.int64(3)], [5, np.int64(0)]]
episode: 7 || reward: 36.0212 || t_min: 3390.5929 || reward_s: 11.1013 || action_list:[[0, np.int64(0)], [4, np.int64(0)], [6, np.int64(0)], [9, np.int64(5)], [8, np.int64(2)], [2, np.int64(3)], [1, np.int64(0)], [3, np.int64(3)], [7, np.int64(2)], [5, np.int64(0)]]
episode: 8 || reward: 4.5000 || t_min: 3390.5929 || reward_s: 10.7713 || action_list:[[5, np.int64(1)], [7, np.int64(2)], [0, np.int64(3)], [9, np.int64(3)], [6, np.int64(3)], [3, np.int64(3)], [2, np.int64(3)], [1, np.int64(2)], [8, np.int64(0)], [4, np.int64(4)]]
episode: 9 || reward: 36.3241 || t_min: 3328.9447 || reward_s: 12.0489 || action_list:[[0, np.int64(0)], [2, np.int64(0)], [1, np.int64(3)], [8, np.int64(2)], [7, np.int64(3)], [4, np.int64(1)], [9, np.int64(0)], [6, np.int64(0)], [3, np.int64(3)], [5, np.int64(1)]]
episode: 10 || reward: 4.5000 || t_min: 3328.9447 || reward_s: 11.6715 || action_list:[[4, np.int64(5)], [7, np.int64(0)], [5, np.int64(3)], [3, np.int64(4)], [2, np.int64(2)], [1, np.int64(0)], [0, np.int64(0)], [6, np.int64(0)], [8, np.int64(3)], [9, np.int64(2)]]
episode: 11 || reward: 4.5000 || t_min: 3328.9447 || reward_s: 11.3129 || action_list:[[2, np.int64(0)], [4, np.int64(0)], [8, np.int64(3)], [0, np.int64(2)], [1, np.int64(1)], [9, np.int64(2)], [5, np.int64(0)], [6, np.int64(0)], [3, np.int64(1)], [7, np.int64(2)]]
episode: 12 || reward: 18.4394 || t_min: 3328.9447 || reward_s: 11.6692 || action_list:[[9, np.int64(0)], [2, np.int64(2)], [4, np.int64(0)], [6, np.int64(2)], [1, np.int64(3)], [0, np.int64(0)], [5, np.int64(1)], [8, np.int64(4)], [3, np.int64(3)], [7, np.int64(0)]]
episode: 13 || reward: 16.5548 || t_min: 3328.9447 || reward_s: 11.9135 || action_list:[[4, np.int64(3)], [5, np.int64(0)], [2, np.int64(3)], [7, np.int64(4)], [8, np.int64(5)], [1, np.int64(1)], [0, np.int64(0)], [3, np.int64(2)], [9, np.int64(3)], [6, np.int64(3)]]
episode: 14 || reward: 23.3747 || t_min: 3328.9447 || reward_s: 12.4866 || action_list:[[5, np.int64(2)], [3, np.int64(2)], [7, np.int64(3)], [0, np.int64(0)], [9, np.int64(3)], [1, np.int64(0)], [2, np.int64(0)], [4, np.int64(2)], [8, np.int64(0)], [6, np.int64(3)]]
episode: 15 || reward: 4.5000 || t_min: 3328.9447 || reward_s: 12.0872 || action_list:[[3, np.int64(0)], [7, np.int64(4)], [0, np.int64(5)], [5, np.int64(5)], [8, np.int64(0)], [1, np.int64(5)], [9, np.int64(0)], [4, np.int64(1)], [2, np.int64(0)], [6, np.int64(3)]]
episode: 16 || reward: 16.4750 || t_min: 3328.9447 || reward_s: 12.3066 || action_list:[[5, np.int64(0)], [3, np.int64(1)], [8, np.int64(2)], [4, np.int64(0)], [6, np.int64(0)], [9, np.int64(0)], [7, np.int64(0)], [1, np.int64(2)], [0, np.int64(0)], [2, np.int64(0)]]
episode: 17 || reward: 15.4950 || t_min: 3328.9447 || reward_s: 12.4660 || action_list:[[2, np.int64(5)], [8, np.int64(1)], [7, np.int64(0)], [0, np.int64(0)], [3, np.int64(3)], [1, np.int64(5)], [6, np.int64(2)], [4, np.int64(1)], [5, np.int64(5)], [9, np.int64(1)]]
episode: 18 || reward: 4.5000 || t_min: 3328.9447 || reward_s: 12.0677 || action_list:[[0, np.int64(1)], [4, np.int64(0)], [2, np.int64(1)], [6, np.int64(0)], [8, np.int64(2)], [1, np.int64(2)], [5, np.int64(3)], [9, np.int64(3)], [3, np.int64(3)], [7, np.int64(0)]]
episode: 19 || reward: 4.5000 || t_min: 3328.9447 || reward_s: 11.6893 || action_list:[[9, np.int64(0)], [6, np.int64(3)], [4, np.int64(0)], [7, np.int64(0)], [5, np.int64(1)], [2, np.int64(5)], [3, np.int64(4)], [1, np.int64(1)], [0, np.int64(0)], [8, np.int64(1)]]
episode: 20 || reward: 4.5000 || t_min: 3328.9447 || reward_s: 11.3299 || action_list:[[0, np.int64(2)], [2, np.int64(3)], [3, np.int64(0)], [8, np.int64(5)], [1, np.int64(2)], [9, np.int64(2)], [4, np.int64(2)], [6, np.int64(0)], [5, np.int64(3)], [7, np.int64(0)]]
episode: 21 || reward: 4.5000 || t_min: 3328.9447 || reward_s: 10.9884 || action_list:[[7, np.int64(1)], [9, np.int64(0)], [6, np.int64(0)], [0, np.int64(0)], [4, np.int64(3)], [3, np.int64(5)], [8, np.int64(0)], [2, np.int64(0)], [1, np.int64(3)], [5, np.int64(0)]]
episode: 22 || reward: 19.9409 || t_min: 3328.9447 || reward_s: 11.4360 || action_list:[[9, np.int64(1)], [5, np.int64(2)], [8, np.int64(0)], [2, np.int64(0)], [0, np.int64(0)], [4, np.int64(3)], [1, np.int64(3)], [7, np.int64(2)], [6, np.int64(1)], [3, np.int64(0)]]
episode: 23 || reward: 33.9292 || t_min: 3328.9447 || reward_s: 12.5607 || action_list:[[4, np.int64(0)], [8, np.int64(3)], [5, np.int64(0)], [0, np.int64(0)], [9, np.int64(1)], [7, np.int64(3)], [1, np.int64(0)], [2, np.int64(3)], [3, np.int64(3)], [6, np.int64(4)]]
episode: 24 || reward: 7.3396 || t_min: 3328.9447 || reward_s: 12.2996 || action_list:[[8, np.int64(1)], [2, np.int64(0)], [3, np.int64(2)], [5, np.int64(4)], [7, np.int64(1)], [1, np.int64(0)], [6, np.int64(1)], [9, np.int64(3)], [0, np.int64(4)], [4, np.int64(3)]]
episode: 25 || reward: 73.6307 || t_min: 3192.6832 || reward_s: 15.3662 || action_list:[[6, np.int64(0)], [7, np.int64(1)], [3, np.int64(1)], [2, np.int64(5)], [4, np.int64(5)], [8, np.int64(3)], [1, np.int64(3)], [9, np.int64(1)], [0, np.int64(1)], [5, np.int64(1)]]
episode: 26 || reward: 4.5000 || t_min: 3192.6832 || reward_s: 14.8229 || action_list:[[1, np.int64(1)], [8, np.int64(1)], [6, np.int64(3)], [7, np.int64(1)], [0, np.int64(2)], [4, np.int64(3)], [2, np.int64(1)], [5, np.int64(2)], [9, np.int64(4)], [3, np.int64(4)]]
episode: 27 || reward: 4.5000 || t_min: 3192.6832 || reward_s: 14.3067 || action_list:[[7, np.int64(4)], [9, np.int64(3)], [1, np.int64(4)], [0, np.int64(0)], [8, np.int64(2)], [4, np.int64(0)], [2, np.int64(0)], [6, np.int64(2)], [3, np.int64(3)], [5, np.int64(2)]]
