episode: 0 || reward: 4.6897 || t_min: inf || reward_s: 0.2345
episode: 1 || reward: 4.6897 || t_min: inf || reward_s: 0.4572
episode: 2 || reward: 13.0345 || t_min: inf || reward_s: 1.0861
episode: 3 || reward: 14.0000 || t_min: 3568.9398 || reward_s: 1.7318
episode: 4 || reward: 8.7241 || t_min: 3568.9398 || reward_s: 2.0814
episode: 5 || reward: 9.5172 || t_min: 3568.9398 || reward_s: 2.4532
episode: 6 || reward: 14.0000 || t_min: 3568.9398 || reward_s: 3.0305
episode: 7 || reward: 14.0000 || t_min: 3568.9398 || reward_s: 3.5790
episode: 8 || reward: 9.5172 || t_min: 3568.9398 || reward_s: 3.8759
episode: 9 || reward: 13.0345 || t_min: 3568.9398 || reward_s: 4.3339
episode: 10 || reward: 40.4492 || t_min: 3568.9398 || reward_s: 6.1396
episode: 11 || reward: 11.2069 || t_min: 3568.9398 || reward_s: 6.3930
episode: 12 || reward: 25.1211 || t_min: 3548.6976 || reward_s: 7.3294
episode: 13 || reward: 13.0345 || t_min: 3548.6976 || reward_s: 7.6147
episode: 14 || reward: 5.2759 || t_min: 3548.6976 || reward_s: 7.4977
episode: 15 || reward: 2.6897 || t_min: 3548.6976 || reward_s: 7.2573
episode: 16 || reward: 14.0000 || t_min: 3548.6976 || reward_s: 7.5944
episode: 17 || reward: 11.2069 || t_min: 3548.6976 || reward_s: 7.7751
episode: 18 || reward: 18.1183 || t_min: 3548.6976 || reward_s: 8.2922
episode: 19 || reward: 7.2414 || t_min: 3548.6976 || reward_s: 8.2397
episode: 20 || reward: 10.3448 || t_min: 3548.6976 || reward_s: 8.3449
episode: 21 || reward: 23.5491 || t_min: 3548.6976 || reward_s: 9.1052
episode: 22 || reward: 14.0000 || t_min: 3548.6976 || reward_s: 9.3499
episode: 23 || reward: 13.0345 || t_min: 3548.6976 || reward_s: 9.5341
episode: 24 || reward: 78.6997 || t_min: 3421.2981 || reward_s: 12.9924
episode: 25 || reward: 8.7241 || t_min: 3421.2981 || reward_s: 12.7790
episode: 26 || reward: 7.9655 || t_min: 3421.2981 || reward_s: 12.5383
episode: 27 || reward: 14.0000 || t_min: 3421.2981 || reward_s: 12.6114
episode: 28 || reward: 14.0000 || t_min: 3421.2981 || reward_s: 12.6808
episode: 29 || reward: 14.0000 || t_min: 3421.2981 || reward_s: 12.7468
episode: 30 || reward: 7.9655 || t_min: 3421.2981 || reward_s: 12.5077
episode: 31 || reward: 27.0528 || t_min: 3421.2981 || reward_s: 13.2350
episode: 32 || reward: 40.9447 || t_min: 3421.2981 || reward_s: 14.6205
episode: 33 || reward: 14.0000 || t_min: 3421.2981 || reward_s: 14.5894
episode: 34 || reward: 12.1034 || t_min: 3421.2981 || reward_s: 14.4651
episode: 35 || reward: 20.8118 || t_min: 3421.2981 || reward_s: 14.7825
episode: 36 || reward: 12.1034 || t_min: 3421.2981 || reward_s: 14.6485
episode: 37 || reward: 12.1034 || t_min: 3421.2981 || reward_s: 14.5213
episode: 38 || reward: 13.0345 || t_min: 3421.2981 || reward_s: 14.4469
episode: 39 || reward: 8.7241 || t_min: 3421.2981 || reward_s: 14.1608
episode: 40 || reward: 13.0345 || t_min: 3421.2981 || reward_s: 14.1045
episode: 41 || reward: 4.6897 || t_min: 3421.2981 || reward_s: 13.6337
episode: 42 || reward: 40.2884 || t_min: 3421.2981 || reward_s: 14.9665
episode: 43 || reward: 14.0000 || t_min: 3421.2981 || reward_s: 14.9181
episode: 44 || reward: 9.5172 || t_min: 3421.2981 || reward_s: 14.6481
episode: 45 || reward: 8.7241 || t_min: 3421.2981 || reward_s: 14.3519
episode: 46 || reward: 14.0000 || t_min: 3421.2981 || reward_s: 14.3343
episode: 47 || reward: 12.1034 || t_min: 3421.2981 || reward_s: 14.2228
episode: 48 || reward: 10.3448 || t_min: 3421.2981 || reward_s: 14.0289
episode: 49 || reward: 23.8941 || t_min: 3403.5100 || reward_s: 14.5221
episode: 50 || reward: 11.2069 || t_min: 3403.5100 || reward_s: 14.3564
episode: 51 || reward: 14.0000 || t_min: 3403.5100 || reward_s: 14.3385
episode: 52 || reward: 6.5517 || t_min: 3403.5100 || reward_s: 13.9492
episode: 53 || reward: 7.2414 || t_min: 3403.5100 || reward_s: 13.6138
