2026-03-24 17:12:26,874 - INFO - episode:rsdql_last reward:1.0292111880694934 Actions:[[7, 0], [0, 2], [3, 1], [2, 0], [1, 0], [5, 0], [8, 3], [9, 0], [4, 1], [6, 1]]
2026-03-24 17:12:26,874 - INFO - episode:rsdql_best reward:106.65383292848765 Actions:[[8, 5], [9, 1], [3, 0], [7, 2], [5, 0], [1, 3], [4, 1], [6, 2], [2, 0], [0, 1]]
2026-03-24 17:25:35,488 - INFO - episode:0 reward:0.6000000000000001 Actions:[[6, 0], [1, 0], [3, 2], [2, 0], [4, 0], [5, 0], [7, 1], [8, 2], [0, 4], [9, 1]]
2026-03-24 17:25:35,490 - INFO - episode:1 reward:0.6000000000000001 Actions:[[1, 0], [0, 0], [5, 1], [4, 0], [9, 1], [3, 4], [7, 0], [2, 2], [6, 2], [8, 1]]
2026-03-24 17:25:35,492 - INFO - episode:2 reward:1.0 Actions:[[6, 1], [8, 4], [1, 0], [4, 0], [0, 0], [3, 2], [2, 0], [9, 0], [7, 0], [5, 0]]
2026-03-24 17:25:35,493 - INFO - episode:3 reward:0.6000000000000001 Actions:[[3, 0], [4, 5], [1, 0], [2, 0], [7, 0], [6, 1], [9, 0], [5, 0], [8, 1], [0, 0]]
2026-03-24 17:25:35,495 - INFO - episode:4 reward:2.1 Actions:[[0, 0], [4, 1], [2, 1], [6, 0], [1, 4], [7, 0], [8, 0], [9, 1], [5, 2], [3, 0]]
2026-03-24 17:25:35,496 - INFO - episode:5 reward:1.5 Actions:[[7, 0], [1, 0], [2, 1], [6, 1], [0, 1], [5, 1], [3, 0], [4, 0], [9, 0], [8, 2]]
2026-03-24 17:25:35,498 - INFO - episode:6 reward:0.1 Actions:[[0, 0], [8, 0], [1, 2], [4, 2], [2, 3], [6, 0], [3, 1], [5, 2], [9, 3], [7, 0]]
2026-03-24 17:25:35,500 - INFO - episode:7 reward:0.1 Actions:[[8, 0], [3, 0], [5, 0], [1, 5], [0, 2], [9, 1], [4, 0], [2, 1], [7, 2], [6, 0]]
2026-03-24 17:25:35,501 - INFO - episode:8 reward:1.0 Actions:[[5, 1], [1, 2], [8, 3], [7, 2], [0, 3], [4, 0], [9, 2], [2, 1], [6, 0], [3, 2]]
2026-03-24 17:25:35,503 - INFO - episode:9 reward:0.1 Actions:[[7, 0], [8, 0], [4, 1], [6, 2], [5, 1], [9, 1], [2, 0], [3, 0], [1, 4], [0, 1]]
2026-03-24 17:25:35,505 - INFO - episode:10 reward:2.1 Actions:[[9, 1], [6, 0], [0, 3], [2, 0], [1, 2], [3, 0], [5, 0], [4, 0], [8, 0], [7, 0]]
