details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:55:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:56:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:57:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:58:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 10:59:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-24 11:00:00
