,frontend,ad,checkout,cart,currency,email,payment,productcatalog,recommendation,shipping
frontend,0,26.513880104948097,1001.4754098360654,255.44990355867068,21.912607824452714,0.0,0.0,9.077441947445529,278.74027507525636,12.90913739266198
ad,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkout,0,0.0,0.0,259.27048959404897,17.16921675774135,60.28287155830854,42.400731850117104,114.77356953866204,0.0,95.09856718873112
cart,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currency,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
payment,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
productcatalog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recommendation,0,0.0,0.0,0.0,0.0,0.0,0.0,135.86633574303144,0.0,0.0
shipping,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
