,cpu,mem
ad,88.0239510069951,375.687243852459
cart,224.2080647249091,276.070568647541
checkout,105.34333830722271,156.2387295081967
currency,423.60405974386566,274.8477843237705
email,42.84932082763199,178.2060706967213
frontend,810.8418933076512,207.35777407786884
payment,33.75601201722127,184.20811987704917
productcatalog,376.8315915016361,214.31832735655738
recommendation,332.361133406694,166.08785860655738
redis-cart,40.4572221005464,127.57530737704919
shipping,60.084909894245364,162.47201588114754
