resonpse_bytes,frontend,ad,checkout,cart,currency,email,payment,productcatalog,recommendation,shipping,cart
frontend,0,0,1174.645361,993.4416112,1163.118713,0,0,1194.1515,1137.470281,1042.435515,0
ad,0,0,0,0,0,0,0,0,0,0,0
checkout,1174.645361,0,0,972.6256788,1061.269485,1050.628965,1134.459982,1233.099858,0,1041.710707,0
cart,993.4416112,0,972.6256788,0,0,0,0,0,0,0,0
currency,1163.118713,0,1061.269485,0,0,0,0,0,0,0,0
email,0,0,1050.628965,0,0,0,0,0,0,0,0
payment,0,0,1134.459982,0,0,0,0,0,0,0,0
productcatalog,1194.1515,0,1233.099858,0,0,0,0,0,2417.400516,0,0
recommendation,1137.470281,0,0,0,0,0,0,2417.400516,0,0,0
shipping,1042.435515,0,1041.710707,0,0,0,0,0,0,0,0
cart,0,0,0,0,0,0,0,0,0,0,0
