2026-03-26 04:06:10,762 - INFO - Start algorithm execution: algorithms.RL.main
2026-03-26 04:06:10,762 - INFO - RL using gamma=0.95 (DRDQL_GAMMA=)
2026-03-26 04:06:11,271 - INFO - episode:0 totalReward:-100 Actions:[[4, 2], [1, 0], [3, 3], [0, 2], [5, 4], [2, 2]]
2026-03-26 04:06:11,275 - INFO - episode:1 totalReward:-100 Actions:[[1, 0], [4, 2], [3, 4], [0, 5], [2, 1], [5, 0]]
2026-03-26 04:06:11,286 - INFO - episode:2 totalReward:3431.187619045597 Actions:[[4, 1], [1, 0], [3, 0], [5, 1], [2, 1], [0, 1]]
2026-03-26 04:06:11,290 - INFO - episode:3 totalReward:-100 Actions:[[1, 3], [2, 5], [3, 0], [5, 5], [4, 3], [0, 0]]
2026-03-26 04:06:11,295 - INFO - episode:4 totalReward:-100 Actions:[[1, 0], [0, 4], [5, 5], [4, 2], [3, 4], [2, 4]]
2026-03-26 04:06:11,302 - INFO - episode:5 totalReward:-100 Actions:[[1, 4], [5, 1], [2, 3], [0, 0], [3, 5], [4, 0]]
2026-03-26 04:06:11,304 - INFO - episode:6 totalReward:-100 Actions:[[5, 5], [1, 0], [4, 3], [2, 1], [3, 4], [0, 0]]
2026-03-26 04:06:11,308 - INFO - episode:7 totalReward:1532.4074451938318 Actions:[[1, 0], [4, 1], [5, 2], [3, 0], [0, 0], [2, 1]]
2026-03-26 04:06:11,311 - INFO - episode:8 totalReward:-100 Actions:[[1, 0], [3, 1], [5, 0], [0, 1], [2, 2], [4, 5]]
2026-03-26 04:06:11,316 - INFO - episode:9 totalReward:-100 Actions:[[1, 0], [2, 4], [3, 2], [0, 1], [4, 4], [5, 1]]
2026-03-26 04:06:11,334 - INFO - episode:10 totalReward:-100 Actions:[[1, 0]]
2026-03-26 04:06:11,343 - INFO - episode:11 totalReward:116.46570046383196 Actions:[[1, 0], [2, 0], [4, 1], [3, 0], [0, 5], [5, 3]]
2026-03-26 04:06:11,350 - INFO - episode:12 totalReward:-100 Actions:[[3, 3], [5, 4], [4, 4], [1, 4], [2, 2], [0, 0]]
2026-03-26 04:06:11,359 - INFO - episode:13 totalReward:-100 Actions:[[3, 2], [1, 4], [0, 5], [4, 2], [2, 5], [5, 1]]
2026-03-26 04:06:11,371 - INFO - episode:14 totalReward:-100 Actions:[[3, 0], [0, 4], [5, 0], [2, 0], [1, 2], [4, 1]]
2026-03-26 04:06:11,380 - INFO - episode:15 totalReward:-100 Actions:[[0, 1], [4, 3], [5, 3], [3, 5], [2, 3], [1, 5]]
2026-03-26 04:06:11,391 - INFO - episode:16 totalReward:380.74961304810324 Actions:[[3, 2], [2, 3], [1, 1], [0, 1], [5, 0], [4, 1]]
2026-03-26 04:06:11,397 - INFO - episode:17 totalReward:-100 Actions:[[5, 4], [2, 1], [0, 0], [4, 3], [3, 0], [1, 4]]
2026-03-26 04:06:11,404 - INFO - episode:18 totalReward:868.4231596801245 Actions:[[4, 0], [2, 1], [3, 2], [0, 1], [1, 1], [5, 5]]
2026-03-26 04:06:11,411 - INFO - episode:19 totalReward:-100 Actions:[[2, 1], [3, 0], [0, 1], [4, 5], [1, 1], [5, 2]]
2026-03-26 04:06:11,416 - INFO - episode:20 totalReward:-100 Actions:[[2, 1]]
2026-03-26 04:06:11,425 - INFO - episode:21 totalReward:-100 Actions:[[2, 1], [1, 2], [5, 2], [3, 2], [0, 0], [4, 3]]
2026-03-26 04:06:11,432 - INFO - episode:22 totalReward:-100 Actions:[[0, 5], [5, 0], [2, 1], [1, 3], [4, 3], [3, 4]]
2026-03-26 04:06:11,441 - INFO - episode:23 totalReward:1502.7567484502292 Actions:[[3, 5], [5, 3], [0, 4], [4, 4], [1, 4], [2, 5]]
2026-03-26 04:06:11,447 - INFO - episode:24 totalReward:-100 Actions:[[4, 1], [2, 5], [5, 3], [0, 4], [1, 4], [3, 0]]
2026-03-26 04:06:11,454 - INFO - episode:25 totalReward:-100 Actions:[[5, 1], [2, 1], [0, 1], [4, 3], [3, 3], [1, 0]]
2026-03-26 04:06:11,465 - INFO - episode:26 totalReward:-100 Actions:[[4, 5], [5, 3], [3, 3], [0, 0], [2, 5], [1, 5]]
2026-03-26 04:06:11,472 - INFO - episode:27 totalReward:-100 Actions:[[3, 4], [2, 5], [4, 0], [5, 0], [0, 1], [1, 4]]
2026-03-26 04:06:11,479 - INFO - episode:28 totalReward:-100 Actions:[[2, 5], [4, 5], [5, 5], [1, 0], [3, 4], [0, 2]]
2026-03-26 04:06:11,489 - INFO - episode:29 totalReward:-100 Actions:[[5, 5], [3, 4], [0, 4], [2, 3], [1, 1], [4, 1]]
2026-03-26 04:06:11,498 - INFO - episode:30 totalReward:-100 Actions:[[0, 1]]
2026-03-26 04:06:11,506 - INFO - episode:31 totalReward:-100 Actions:[[0, 1], [5, 5], [3, 2], [4, 4], [2, 2], [1, 4]]
2026-03-26 04:06:11,511 - INFO - episode:32 totalReward:-100 Actions:[[5, 5], [2, 0], [4, 2], [1, 4], [3, 4], [0, 3]]
2026-03-26 04:06:11,519 - INFO - episode:33 totalReward:-100 Actions:[[5, 5], [1, 5], [2, 1], [3, 5], [0, 1], [4, 1]]
2026-03-26 04:06:11,529 - INFO - episode:34 totalReward:-100 Actions:[[2, 1], [0, 1], [5, 4], [3, 2], [1, 2], [4, 3]]
2026-03-26 04:06:11,535 - INFO - episode:35 totalReward:-100 Actions:[[1, 4], [2, 2], [5, 5], [3, 0], [0, 2], [4, 0]]
2026-03-26 04:06:11,545 - INFO - episode:36 totalReward:819.9499161217055 Actions:[[2, 4], [1, 0], [0, 1], [3, 5], [5, 4], [4, 1]]
2026-03-26 04:06:11,551 - INFO - episode:37 totalReward:1508.783127823585 Actions:[[0, 1], [2, 1], [1, 1], [4, 0], [5, 4], [3, 0]]
2026-03-26 04:06:11,559 - INFO - episode:38 totalReward:-100 Actions:[[5, 2], [2, 1], [3, 2], [0, 5], [1, 0], [4, 1]]
2026-03-26 04:06:11,566 - INFO - episode:39 totalReward:-100 Actions:[[3, 3], [2, 4], [4, 3], [1, 0], [0, 1], [5, 1]]
2026-03-26 04:06:11,576 - INFO - episode:40 totalReward:-100 Actions:[[3, 0], [1, 0], [0, 1]]
2026-03-26 04:06:11,584 - INFO - episode:41 totalReward:-100 Actions:[[3, 3], [0, 5], [5, 5], [2, 4], [1, 0], [4, 0]]
2026-03-26 04:06:11,590 - INFO - episode:42 totalReward:-100 Actions:[[0, 4], [5, 4], [3, 0], [4, 3], [1, 4], [2, 5]]
2026-03-26 04:06:11,597 - INFO - episode:43 totalReward:-100 Actions:[[3, 0], [2, 2], [1, 5], [0, 4], [5, 1], [4, 1]]
